station id,station name,latitude,longitude,zipcode,burrough,city,county,state
217,Old Fulton St,40.70277159,-73.99383605,11201,Brooklyn,,Kings County,New York
337,Old Slip & Front St,40.703799200000006,-74.00838676,10005,Manhattan,New York,New York County,New York
3897,Onderdonk Ave & Dekalb Ave,40.70863,-73.91497,11385,Queens,,Queens County,New York
3885,Onderdonk Ave & Gates Ave,40.70413,-73.90737,11385,Queens,,Queens County,New York
3546,Pacific St & Classon Ave,40.67919439999999,-73.95879029999999,11238,Brooklyn,,Kings County,New York
3412,Pacific St & Nevins St,40.6853761,-73.98302136,11217,Brooklyn,,Kings County,New York
3507,Park Ave & E 124 St,40.8045555,-73.93968609999999,10035,Manhattan,New York,New York County,New York
3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,11206,Brooklyn,,Kings County,New York
119,Park Ave & St Edwards St,40.69608941,-73.97803415,11205,Brooklyn,,Kings County,New York
3690,Park Pl & Church St,40.71334184,-74.00935516,10007,Manhattan,New York,New York County,New York
3578,Park Pl & Franklin Ave,40.67418060000001,-73.95649470000001,11216,Brooklyn,,Kings County,New York
3576,Park Pl & Vanderbilt Ave,40.6767,-73.969024,11238,Brooklyn,,Kings County,New York
415,Pearl St & Hanover Square,40.7047177,-74.00926027,10004,Manhattan,New York,New York County,New York
3916,Pearl St & Peck Slip,40.708484999999996,-74.002751,10038,Manhattan,New York,New York County,New York
279,Peck Slip & Front St,40.707873,-74.00166999999999,10038,Manhattan,New York,New York County,New York
247,Perry St & Bleecker St,40.73535398,-74.00483091,10014,Manhattan,New York,New York County,New York
3739,Perry St & Greenwich Ave,40.735918,-74.000939,10011,Manhattan,New York,New York County,New York
519,Pershing Square North,40.751872999999996,-73.97770600000001,10168,Manhattan,New York,New York County,New York
517,Pershing Square South,40.751581,-73.97791,10168,Manhattan,New York,New York County,New York
3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,10014,Manhattan,New York,New York County,New York
3728,Pierrepont St & Monroe Pl,40.69535693,-73.99344027,11201,Brooklyn,,Kings County,New York
295,Pike St & E Broadway,40.71406667,-73.99293911,10002,Manhattan,New York,New York County,New York
331,Pike St & Monroe St,40.71173107,-73.99193043,10002,Manhattan,New York,New York County,New York
3342,Pioneer St & Richards St,40.677774799999995,-74.0094613,11231,Brooklyn,,Kings County,New York
3344,Pioneer St & Van Brunt St,40.679043,-74.011169,11231,Brooklyn,,Kings County,New York
400,Pitt St & Stanton St,40.71926081,-73.98178024,10002,Manhattan,New York,New York County,New York
3418,Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,11217,Brooklyn,,Kings County,New York
3497,Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,10029,Manhattan,New York,New York County,New York
3498,Pleasant Ave & E 120 St,40.7974772,-73.9311847,10035,Manhattan,New York,New York County,New York
3767,Powers St & Olive St,40.713229999999996,-73.93894,11211,Brooklyn,,Kings County,New York
3388,President St & Henry St,40.6828003,-73.99990419,11231,Brooklyn,,Kings County,New York
3300,Prospect Park West & 8 St,40.66514682,-73.97637606,11215,Brooklyn,,Kings County,New York
3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,11217,Brooklyn,,Kings County,New York
3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,11238,Brooklyn,,Kings County,New York
3059,Pulaski St & Marcus Garvey Blvd,40.693398200000004,-73.939877,11221,Brooklyn,,Kings County,New York
3839,Putnam Ave & Knickerbocker Ave,40.69545,-73.91164,11237,Brooklyn,,Kings County,New York
3048,Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977,11216,Brooklyn,,Kings County,New York
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,11221,Brooklyn,,Kings County,New York
3840,Putnam Ave & Wyckoff Ave,40.69811,-73.90904,11385,Brooklyn,,Kings County,New York
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,11101,Queens,,Queens County,New York
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,11249,Brooklyn,,Kings County,New York
330,Reade St & Broadway,40.71450451,-74.00562789,10007,Manhattan,New York,New York County,New York
3393,Richards St & Delavan St,40.67943270000001,-74.00785041,11231,Brooklyn,,Kings County,New York
3430,Richardson St & N Henry St,40.71907891,-73.94223690000001,11222,Brooklyn,,Kings County,New York
3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,10069,Manhattan,New York,New York County,New York
3331,Riverside Dr & W 104 St,40.8013434,-73.97114574,10025,Manhattan,New York,New York County,New York
3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,10023,Manhattan,New York,New York County,New York
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,10024,Manhattan,New York,New York County,New York
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,10024,Manhattan,New York,New York County,New York
3437,Riverside Dr & W 91 St,40.79313481,-73.97700369,10024,Manhattan,New York,New York County,New York
473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,10002,Manhattan,New York,New York County,New York
349,Rivington St & Ridge St,40.71850211,-73.98329859,10002,Manhattan,New York,New York County,New York
3893,Rockaway Ave & Bainbridge St,40.68319988,-73.91166642,11207,Brooklyn,,Kings County,New York
3085,Roebling St & N 4 St,40.714690000000004,-73.95739,11211,Brooklyn,,Kings County,New York
3604,Rogers Ave & Sterling St,40.6630619,-73.95387459999999,11225,Brooklyn,,Kings County,New York
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,11249,Brooklyn,,Kings County,New York
3080,S 4 St & Rodney St,40.709340000000005,-73.95608,11211,Brooklyn,,Kings County,New York
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,11249,Brooklyn,,Kings County,New York
532,S 5 Pl & S 5 St,40.710451,-73.960876,11211,Brooklyn,,Kings County,New York
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,11217,Brooklyn,,Kings County,New York
3486,Schermerhorn St & Bond St,40.68841743,-73.98451656,11201,Brooklyn,,Kings County,New York
3242,Schermerhorn St & Court St,40.69102926,-73.99183363,11201,Brooklyn,,Kings County,New York
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,11206,Brooklyn,,Kings County,New York
3766,Sharon St & Olive St,40.715353,-73.93856,11211,Brooklyn,,Kings County,New York
3352,Sigourney St & Columbia St,40.67267243,-74.00879525,11231,Brooklyn,,Kings County,New York
3384,Smith St & 3 St,40.678724200000005,-73.99599099,11231,Brooklyn,,Kings County,New York
3398,Smith St & 9 St,40.67469570000001,-73.99785768,11231,Brooklyn,,Kings County,New York
3867,Somers St & Broadway,40.67945,-73.90474,11233,Brooklyn,,Kings County,New York
3002,South End Ave & Liberty St,40.711512,-74.01575600000001,10280,Manhattan,New York,New York County,New York
315,South St & Gouverneur Ln,40.70355377,-74.00670227,10005,Manhattan,New York,New York County,New York
259,South St & Whitehall St,40.70122128,-74.01234218,10004,Manhattan,New York,New York County,New York
224,Spruce St & Nassau St,40.71146364,-74.00552427,10038,Manhattan,New York,New York County,New York
308,St James Pl & Oliver St,40.71307916,-73.99851193,10038,Manhattan,New York,New York County,New York
82,St James Pl & Pearl St,40.71117416,-74.00016545,10038,Manhattan,New York,New York County,New York
3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611,11238,Brooklyn,,Kings County,New York
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,10003,Manhattan,New York,New York County,New York
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,10003,Manhattan,New York,New York County,New York
3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,10027,Manhattan,New York,New York County,New York
3533,St. Nicholas Ave & W 126 St,40.8114323,-73.95187759999999,10027,Manhattan,New York,New York County,New York
3757,Stagg St & Morgan Ave,40.710681,-73.93372,11206,Brooklyn,,Kings County,New York
3077,Stagg St & Union Ave,40.70877084,-73.95095259,11211,Brooklyn,,Kings County,New York
3901,Stanhope St & Fairview Ave,40.70998,-73.91116,11385,Queens,,Queens County,New York
265,Stanton St & Chrystie St,40.72229346,-73.99147535,10002,Manhattan,New York,New York County,New York
341,Stanton St & Mangin St,40.71782143,-73.97628939,10002,Manhattan,New York,New York County,New York
3737,Stanton St & Norfolk St,40.720746999999996,-73.986274,10002,Manhattan,New York,New York County,New York
310,State St & Smith St,40.68926942,-73.98912867,11201,Brooklyn,,Kings County,New York
3528,Steinway St & 23 Ave,40.771393700000004,-73.9077436,11105,Queens,,Queens County,New York
